,location,comment,cm_star,ID,tagging
57,老賴茶棧-士林店,"要買隔壁的茶湯會.結果走錯店.
看菜單有點陌生但不疑有他.
拿出茶湯會會員卡時.店員說是隔壁店.
如果店員沒跟我說.我永遠都不會發現.
最後我將錯就錯點了一杯.還可以：）...
😅我後面下一位客人.熊貓快遞要茶湯會取貨.也是走錯店到老賴茶棧.", 5 顆星 ,132,"茶,  茶湯, "
58,老賴茶棧-士林店,老賴紅茶就是好喝的古早味紅茶，三分糖就很甜了，自行加上光O燕麥奶簡直是戒奶（茶）者的無敵奶茶，大推。, 4 顆星 ,135,"茶,  紅茶,  奶茶, "
59,老賴茶棧-士林店,"豆香紅茶💰45：
豆香味很夠，紅茶也有古早味的香氣。糖量的建議上，不喜甜者建議點一分糖，完全無糖喝起來很奇怪，平常喝半糖的人建議三分糖就夠了，這樣也比較健康（？😂

～2022.1", 5 顆星 ,137,"茶,  紅茶, "
60,老賴茶棧-士林店,紅茶不錯，但豆漿就顯得不夠香純，對我來說半糖就剛剛挺甜的剛剛好。, 4 顆星 ,139,"茶,  紅茶, "
61,COMEBUY_士林美崙店,"服務其實滿好的
飲料也很好喝
喜歡加粉條～～～

有的評論好奇怪
你要環保杯要載具是不會自己主動講喔
店員是會通靈嗎誰知道你放桌上是要用還是暫放啊等一下碰了又該該叫
沒收你服務費還要伺候你真辛苦

我自己也是裝環保杯跟載具的人
講了店員也都很貼心會幫忙用", 5 顆星 ,140,"粉條, "
62,COMEBUY_士林美崙店,不少茶的品項都有淡淡果香，喝起來爽口不太會澀, 4 顆星 ,142,"茶, "
63,COMEBUY_士林美崙店,最喜歡喝雙Q鮮奶茶, 5 顆星 ,144,"鮮奶,  茶,  奶茶,  鮮奶茶, "
64,COMEBUY_士林美崙店,港式奶茶超好喝！很道地的味道，雖然價位有點貴><, 5 顆星 ,148,"茶,  奶茶, "
65,COMEBUY_士林美崙店,"茶是現泡的
推薦玫瑰普洱奶茶", 4 顆星 ,157,"茶,  奶茶, "
66,TrueWin初韻 士林文林店,"初訪
士林夜市附近的飲料店
芝士奶式Q葡萄很好喝
裡面的QQ還是寒天很有嚼勁", 5 顆星 ,160,"寒天, "
67,TrueWin初韻 士林文林店,點了芝士奶蓋鮮草莓和芝士奶蓋Q芒果，芒果真的很好喝，有芒果和透明的QQ，配上芝士很對味！第二次購買的口味是楊枝甘露，我是點微糖少冰，對我來說甜度很剛好，口感我也喜歡，整體來說很好喝！, 5 顆星 ,162,"奶蓋,  奶蓋, "
68,TrueWin初韻 士林文林店,"初訪～
點了濃郁好韻紅 微微～淡淡紅茶香，與普通買的紅茶味道不大相同，不錯喝。", 3 顆星 ,163,"茶,  紅茶, "
69,TrueWin初韻 士林文林店,今晚的短髮女店員就算客人很多還是耐心的向我介紹飲品，推薦十分詳細，最後我點好韻紅茶那提，但另一位長髮女店員就突然過來態度十分不佳的向短髮女店員說不要賣紅茶那提，原因不知道為什麼，但是直接在點完單的客人面前這樣說實屬不妥，還是給五顆星評價因為短髮女店員的表現優秀也不因此打折！, 5 顆星 ,165,"茶,  紅茶, "
70,TrueWin初韻 士林文林店,"下午去排隊
買到節慶限量版茶飲
真的很開心
價錢是其次(就算貴也能接受)
重點是茶品包裝很逗趣
真心謝謝店內的帥哥美女
今天您們都辛苦了！", 5 顆星 ,166,"茶, "
71,TrueWin初韻 士林文林店,"今日使用700CC環保杯購買大杯純茶，點去冰無糖，
居然茶裝一半就開始一直加冰塊，冰塊加到7分滿就拿來給我們，
告知女店員這是700CC環保杯詢問大杯是幾CC怎麼少這麼多....
他就繼續幫我們加冰塊，整杯一半是冰塊!!喝起來像喝開水，請問這是貴店品質嗎??給人感官非常差，不會再去了，感覺是在欺騙消費者....", 1 顆星 ,173,"茶, "
72,TrueWin初韻 士林文林店,"7/25晚上九點半左右進店消費
員工態度很棒,奶茶也很好喝
但我們點的是珍奶...一顆珍珠都沒有
到家後才發現就沒有特別再跑一趟
下次可能要注意一下~", 3 顆星 ,175,"珍珠,  茶,  奶茶, "
73,TrueWin初韻 士林文林店,服務人員親切，環境乾淨，設有內用區（四個位子）奶蓋味道很輕可惜了點, 4 顆星 ,177,"奶蓋,  奶蓋, "
74,TrueWin初韻 士林文林店,珍珠給超少 沒在唬 飲料還有三分之二珍珠就沒了 是要不要這麼小氣, 1 顆星 ,178,"珍珠, "
75,TrueWin初韻 士林文林店,"來逛士林夜市路過就被吸引進來了><
點了一杯芝士奶蓋鮮草莓

⭕ 第一口先不急的插吸管，把杯蓋打開，直接喝上一口芝士奶蓋，甜甜地又柔順的口感，都可以直接單吃起來了。
⭕ 之後再插吸管下去喝，草莓和奶蓋攪拌喝起來，甜甜微酸的好喝的停不來😋

⭕ 杯蓋上面的旋轉設計真的很厲害
⭕ 店員有認真介紹&服務態度也都很棒

----------------------------------------

意外的發現一間好喝的飲料店，推薦大家去喝喝看喔～有發現大家都在推薦水果茶，期待下次再來光顧嚐鮮。", 5 顆星 ,179,"奶蓋,  奶蓋,  茶,  水果, "
76,圓石禪飲-士林大北店,茶感覺不是很到位，喝起來有淡稀水份比例有點落差，粉圓有點硬及結塊多及少量，吸起來不是很順。, 2 顆星 ,180,"粉圓,  茶, "
77,圓石禪飲-士林大北店,鮮奶很淡，感覺有另外加水。黃金粉圓一樣很好吃！又Q又有蜜香味，因為店不多路過可以買, 3 顆星 ,181,"粉圓,  鮮奶, "
78,圓石禪飲-士林大北店,超級好喝的紅茶加珍珠只要1元真D佛系飲料店, 5 顆星 ,183,"珍珠,  茶,  紅茶, "
79,圓石禪飲-士林大北店,從大學喝到研究所畢業，只能說店員態度越來越差，是看在圓石奶茶的味道特別，經過都會買一下，不然每次來點飲料，店員有氣無力的都讓我感覺快被超度了。, 3 顆星 ,184,"茶,  奶茶, "
80,圓石禪飲-士林大北店,"麥茶好喝
格雷奶茶也好喝
買飲料還可以累點兌換
但是本來是實體卡有優惠
而且實體卡是花錢買的
現在更改線上
大家都可以免費成會員拿優惠
那本來實體卡的客人補個金額進會員
或有其他優惠感覺比較合理
不然感覺是白花錢買了………", 3 顆星 ,185,"茶,  奶茶, "
81,圓石禪飲-士林大北店,剛剛買冬瓜茶瓶裝要65，個人覺得蠻貴的，瓶裝其實也才大概1000cc如果再加微冰的話就跟一般手搖杯的大杯一樣，而且有花錢加珍珠結果沒加, 2 顆星 ,186,"珍珠,  茶, "
82,圓石禪飲-士林大北店,"買了一杯雲清烏龍加黑糖琥珀，
居然是九成的硬粉圓混少數幾顆Q粉圓，
這是拿隔夜粉圓出來賣嗎？！！！！！
做餐飲最重要的是食材品管，
已經那麼多客人反應粉圓是硬的，
店家卻視而不見，再三忽視問題，
如果出問題了，店家會負責嗎😡", 1 顆星 ,187,"粉圓, "
83,圓石禪飲-士林大北店,茶好喝粉圓好吃，XL杯就是爽！每次用熊貓點餐附註不需要吸管等需求都有被聽進去, 5 顆星 ,188,"粉圓,  茶, "
